account_id,signup_date,usage_events_30d,active_days_30d,features_used_30d,total_errors_30d,total_usage_time_30d,churn_date,early_churn,activation_level,high_usage,errors_per_active_day,churn_risk,high_risk
A-d42431,2024-06-09,26.0,3,3,1.0,5296.0,2024-06-26,True,medium,False,0.3333333333333333,0.2278218250942221,False
A-d535f6,2024-09-03,29.0,3,3,0.0,11290.0,2024-10-05,True,medium,True,0.0,0.5047278875937358,True
A-d77f4c,2023-09-25,6.0,1,1,0.0,102.0,2024-08-06,False,low,False,0.0,0.22344222829515098,False
A-de24d5,2024-11-05,47.0,6,6,1.0,17401.0,,False,high,True,0.1666666666666666,0.4704636496380105,True
A-e08cd3,2024-09-21,39.0,5,5,3.0,13330.0,2024-09-21,True,high,True,0.6,0.344074227355888,False
A-e98302,2023-12-26,12.0,1,1,0.0,1500.0,,False,low,False,0.0,0.2712955639200546,False
A-f03140,2023-11-22,8.0,1,1,0.0,2272.0,2024-10-03,False,low,False,0.0,0.30031976007379774,False
A-f17767,2023-01-30,8.0,1,1,2.0,56.0,2023-05-03,False,low,False,2.0,0.1127231686263931,False
A-f446b6,2023-05-12,8.0,1,1,1.0,3344.0,,False,low,False,1.0,0.25870441063918365,False
A-f9cc74,2024-10-12,51.0,6,6,3.0,13479.0,,False,high,True,0.5,0.27369292545362933,False
A-fa2041,2024-05-29,16.0,2,2,1.0,1288.0,2024-07-13,True,medium,False,0.5,0.16409393306025954,False
A-fce879,2024-09-24,43.0,4,5,10.0,19993.0,2024-10-07,True,medium,True,2.5,0.5530372430363484,True
A-fe79a5,2024-02-21,7.0,1,1,1.0,3290.0,,False,low,False,1.0,0.25680034664718615,False
